,white_user_id,white_elo,white_aggressiveness,white_total_time,white_early_times_mean,white_early_times_median,white_early_times_variance,white_early_times_max,white_early_times_min,white_mid_times_mean,white_mid_times_median,white_mid_times_variance,white_mid_times_max,white_mid_times_min,white_end_times_mean,white_end_times_median,white_end_times_variance,white_end_times_max,white_end_times_min,black_user_id,black_elo,black_aggressiveness,black_total_time,black_early_times_mean,black_early_times_median,black_early_times_variance,black_early_times_max,black_early_times_min,black_mid_times_mean,black_mid_times_median,black_mid_times_variance,black_mid_times_max,black_mid_times_min,black_end_times_mean,black_end_times_median,black_end_times_variance,black_end_times_max,black_end_times_min,game_link,opening,result,movements,total_time,points_balance,taken_balance,opening_enc
11,Procellariidae,2351,0.0,685.0,3.857142857142857,2.0,7.83673469387755,8.0,1.0,21.3,10.5,476.41,68.0,3.0,49.44444444444444,28.0,2692.2469135802467,182.0,5.0,chessandpassion,2359,2.0,588.0,4.0,2.0,21.714285714285715,15.0,1.0,26.7,16.5,1179.0099999999998,120.0,1.0,36.625,7.5,2699.234375,135.0,1.0,https://lichess.org/9Q2RoDI6,Alekhine Defense,0,53,1273.0,7,1,0
12,SarzhanovCh2004,2237,0.5,1449.0,22.88888888888889,3.0,4407.765432098765,293.0,0.0,44.85,4.0,12250.827499999996,430.0,0.0,7.368421052631579,2.0,112.44321329639891,39.0,0.0,Procellariidae,2310,0.5,1255.0,12.0,8.0,237.66666666666666,68.0,0.0,28.1,14.5,728.49,99.0,2.0,25.105263157894736,13.0,1759.8836565096951,189.0,1.0,https://lichess.org/XIEhcB2k,Italian Game: Anti-Fried Liver Defense,2,116,2704.0,8,0,354
13,Procellariidae,2258,0.0,854.0,6.857142857142857,5.0,36.40816326530612,18.0,1.0,37.7,21.5,1104.81,91.0,0.0,47.666666666666664,20.0,2392.6666666666665,159.0,0.0,SVK16,2202,0.0,861.0,8.714285714285714,2.0,94.77551020408161,29.0,2.0,46.5,36.5,1627.05,135.0,4.0,41.875,15.5,4155.359375,204.0,0.0,https://lichess.org/qMhDzfzP,Philidor Defense: Lion Variation,0,53,1715.0,3,1,541
14,shiva23,2079,0.0,322.0,2.625,2.0,1.734375,6.0,2.0,15.9,9.5,317.69,61.0,0.0,15.777777777777779,8.0,623.283950617284,85.0,0.0,Procellariidae,2212,0.0,417.0,2.25,2.0,1.6875,4.0,0.0,20.1,17.5,310.49,64.0,2.0,22.0,17.0,477.55555555555554,65.0,0.0,https://lichess.org/vOASpAJr,"Ruy Lopez: Morphy Defense, Anderssen Variation",2,56,739.0,1,1,735
15,easygear3428,2088,0.0,515.0,2.1666666666666665,2.0,0.8055555555555555,4.0,1.0,27.666666666666668,16.0,1344.8888888888887,115.0,1.0,36.142857142857146,10.0,2146.1224489795923,140.0,1.0,billow1,2260,0.0,470.0,2.3333333333333335,1.5,3.8888888888888893,5.0,0.0,20.77777777777778,12.0,336.17283950617286,55.0,1.0,44.833333333333336,22.0,2940.472222222222,158.0,3.0,https://lichess.org/RGB2unIH,King's Indian Defense: Steiner Attack,0,45,985.0,0,0,444
16,TheLaw7,2027,0.5,1797.0,39.0,27.0,1469.142857142857,156.0,1.0,24.666666666666668,18.0,541.3888888888888,82.0,1.0,16.782608695652176,11.0,218.17013232514185,57.0,0.0,billow1,2275,2.5,1495.0,22.523809523809526,9.0,843.4875283446712,119.0,3.0,22.708333333333332,12.0,564.3732638888888,98.0,2.0,21.681818181818183,12.0,697.0351239669421,119.0,2.0,https://lichess.org/bRhBOmwG,Nimzo-Larsen Attack: Modern Variation,0,137,3292.0,2,2,516
17,billow1,2272,0.0,283.0,4.8,5.0,4.5600000000000005,8.0,2.0,10.571428571428571,5.0,202.53061224489798,45.0,2.0,30.833333333333332,6.5,1524.8055555555559,105.0,3.0,njmnjm,1994,0.0,231.0,2.8,3.0,1.3599999999999999,4.0,1.0,15.857142857142858,8.0,230.12244897959178,49.0,3.0,21.2,10.0,649.3599999999999,71.0,2.0,https://lichess.org/k5idwsQm,Queen's Gambit Declined: 4. Bg5 Be7,0,37,514.0,0,0,581
18,RodrigoFerreira,1921,0.0,79.0,3.5,3.5,2.25,5.0,2.0,12.2,4.0,175.76000000000002,37.0,2.0,3.6666666666666665,4.0,0.22222222222222224,4.0,3.0,billow1,2269,0.0,57.0,3.0,3.0,1.0,4.0,2.0,2.8,3.0,0.5599999999999999,4.0,2.0,12.333333333333334,16.0,44.22222222222222,18.0,3.0,https://lichess.org/G8wBCqnb,English Opening: Anglo-Indian Defense,2,22,136.0,-6,-2,169
19,billow1,2267,0.0,985.0,17.785714285714285,11.5,267.16836734693874,50.0,2.0,25.294117647058822,24.0,555.2664359861591,82.0,1.0,20.4,11.0,536.3733333333333,74.0,2.0,beef89,1912,2.5,1416.0,26.642857142857142,20.5,882.9438775510205,126.0,1.0,45.94117647058823,28.0,2806.2906574394465,216.0,1.0,18.714285714285715,10.0,306.48979591836735,65.0,2.0,https://lichess.org/nZrLurk4,"Queen's Gambit Accepted: Central Variation, Alekhine System",0,93,2401.0,0,0,566
20,PirateAttack5,2014,0.0,109.0,6.0,6.0,1.0,7.0,5.0,20.0,17.0,109.0,37.0,9.0,8.5,8.5,0.25,9.0,8.0,billow1,2262,2.0,85.0,4.0,4.0,1.0,5.0,3.0,11.0,11.5,31.5,17.0,4.0,16.5,16.5,110.25,27.0,6.0,https://lichess.org/OvNY7eij,Réti Opening,2,18,194.0,0,0,754
21,billow1,2257,0.0,1339.0,22.53846153846154,2.0,1511.4792899408278,149.0,1.0,34.8,23.0,1363.6266666666666,121.0,2.0,37.42857142857143,16.0,2383.8163265306116,179.0,2.0,Tinju_Angin,2045,0.0,1043.0,6.769230769230769,4.0,34.1775147928994,16.0,1.0,24.133333333333333,13.0,702.6488888888888,86.0,2.0,45.61538461538461,11.0,3826.852071005917,209.0,2.0,https://lichess.org/pGkQbTSU,Nimzo-Indian Defense: Fischer Variation,0,85,2382.0,2,0,494
22,AlcianBlue,2036,0.0,1400.0,6.083333333333333,4.5,13.576388888888891,15.0,2.0,43.357142857142854,24.0,2919.94387755102,206.0,0.0,55.38461538461539,47.0,4466.236686390532,258.0,2.0,billow1,2252,2.0,1131.0,14.5,8.5,262.9166666666667,51.0,1.0,18.214285714285715,12.0,190.73979591836732,46.0,3.0,54.0,23.0,4265.2307692307695,226.0,5.0,https://lichess.org/YiopQtnz,Sicilian Defense,2,80,2531.0,-5,-1,818
23,mysonnevercallme,1903,0.5,1177.0,35.5625,13.0,1773.74609375,120.0,0.0,16.666666666666668,5.0,404.33333333333326,71.0,1.0,18.11764705882353,4.0,597.7508650519031,78.0,0.0,billow1,2250,2.5,1045.0,23.6875,6.0,2887.21484375,228.0,1.0,23.72222222222222,19.5,309.53395061728395,60.0,2.0,14.058823529411764,5.0,343.3494809688581,62.0,1.0,https://lichess.org/UV4Z67QK,"Sicilian Defense: Najdorf, Lipnitsky Attack",2,104,2222.0,-3,-3,908
24,notzmv,2015,0.0,1392.0,17.0,9.0,376.5,74.0,2.0,59.86666666666667,28.0,5116.782222222222,234.0,2.0,22.307692307692307,9.0,641.9053254437871,81.0,1.0,billow1,2245,0.0,1290.0,18.5,5.0,633.0833333333334,93.0,3.0,59.06666666666667,38.0,2336.462222222223,190.0,17.0,14.0,10.0,125.6923076923077,41.0,3.0,https://lichess.org/vZvYI1Bq,English Opening: Anglo-Indian Defense,2,82,2682.0,0,0,169
25,RaulPanduroHuaynate,1877,2.0,162.0,4.75,4.5,3.1875,7.0,3.0,8.0,7.0,28.333333333333332,16.0,2.0,19.0,20.0,215.6,45.0,3.0,billow1,2242,0.0,320.0,5.5,2.5,37.25,16.0,1.0,29.833333333333332,11.0,1076.8055555555557,80.0,2.0,23.8,12.0,593.36,71.0,6.0,https://lichess.org/bgHfXfvw,"Indian Game: King's Indian Variation, Fianchetto Variation",2,32,482.0,-4,-2,340
26,billow1,2237,0.0,324.0,4.7,3.0,16.409999999999997,14.0,1.0,17.416666666666668,8.0,737.9097222222223,104.0,2.0,6.8,6.5,11.96,12.0,2.0,vvoix,2039,0.0,1344.0,36.6,21.0,1588.2400000000002,142.0,6.0,69.91666666666667,62.5,1912.2430555555557,156.0,14.0,13.9,10.0,113.49000000000001,37.0,0.0,https://lichess.org/utTIEaPT,Nimzo-Indian Defense: Reshevsky Variation,0,66,1668.0,0,0,506
27,hard1baby,1965,0.0,505.0,11.727272727272727,12.0,65.10743801652892,27.0,2.0,10.846153846153847,10.0,36.130177514792905,25.0,3.0,19.583333333333332,12.0,298.5763888888889,56.0,2.0,billow1,2233,2.0,358.0,10.272727272727273,4.0,221.47107438016528,55.0,2.0,10.076923076923077,8.0,38.68639053254438,22.0,2.0,9.5,4.0,90.58333333333333,33.0,2.0,https://lichess.org/PCCv5F2u,Sicilian Defense,2,74,863.0,-1,-1,818
28,bilyboy,1996,0.0,1063.0,19.166666666666668,8.0,803.6388888888888,97.0,2.0,36.285714285714285,13.5,2192.6326530612246,152.0,5.0,27.083333333333332,14.0,994.7430555555558,102.0,2.0,billow1,2229,2.0,1191.0,55.583333333333336,21.0,5413.076388888888,225.0,2.0,17.714285714285715,17.5,174.48979591836732,52.0,1.0,23.0,11.0,791.1666666666666,108.0,3.0,https://lichess.org/hq6S9TeH,Sicilian Defense,2,78,2254.0,-8,0,818
29,SaltedMeat,1890,2.0,293.0,7.2,7.0,6.959999999999999,10.0,3.0,15.428571428571429,7.0,265.95918367346934,52.0,5.0,24.833333333333332,22.0,248.13888888888889,52.0,7.0,billow1,2226,2.0,198.0,4.0,2.0,16.4,12.0,1.0,11.571428571428571,10.0,77.10204081632654,31.0,3.0,16.166666666666668,13.5,93.13888888888887,31.0,6.0,https://lichess.org/acaJMbZH,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",2,38,491.0,-5,-1,829
30,billow1,2222,2.5,1097.0,23.1875,4.0,1586.40234375,136.0,0.0,31.210526315789473,15.0,1442.9030470914124,129.0,4.0,7.823529411764706,4.0,59.321799307958464,27.0,2.0,SaltedMeat,1903,0.0,731.0,15.5625,9.5,185.99609375,48.0,1.0,17.157894736842106,13.0,101.50138504155125,39.0,5.0,9.75,7.5,80.6875,41.0,2.0,https://lichess.org/5drmryD1,Grünfeld Defense: Exchange Variation,0,105,1828.0,3,1,317
31,SaltedMeat,1919,0.0,362.0,19.0,13.0,168.4,37.0,6.0,17.0,15.0,67.75,34.0,7.0,21.833333333333332,18.0,233.80555555555554,46.0,4.0,billow1,2219,0.0,168.0,3.4,4.0,5.040000000000001,7.0,1.0,11.375,9.5,36.984375,26.0,6.0,12.0,13.0,20.8,18.0,5.0,https://lichess.org/R5RJXI0A,Zukertort Opening: Double Fianchetto Attack,2,39,530.0,-5,-3,1013
32,billow1,2214,0.0,561.0,2.5,1.5,4.583333333333333,7.0,1.0,26.11111111111111,3.0,2947.432098765432,177.0,1.0,44.42857142857143,29.0,1803.387755102041,109.0,4.0,henryairsword,1975,0.0,272.0,2.5,2.5,1.5833333333333333,4.0,1.0,10.88888888888889,8.0,64.09876543209877,26.0,1.0,22.714285714285715,21.0,173.3469387755102,42.0,7.0,https://lichess.org/AFXw2O4D,"Benko Gambit Accepted, Fully Accepted Variation",0,46,833.0,0,0,26
