,user_id,game_link,elo,colour,opening,result,movements,total_time_player,total_time,early_times_mean,early_times_median,early_times_variance,early_times_max,early_times_min,mid_times_mean,mid_times_median,mid_times_variance,mid_times_max,mid_times_min,end_times_mean,end_times_median,end_times_variance,end_times_max,end_times_min,points_balance,taken_balance,aggressiveness
20,lichess AI level 8,https://lichess.org/PQIVj8CG,2399,White,Colle System,2,71,200.0,1460.0,5.1,5.0,3.8899999999999997,8.0,3.0,6.384615384615385,6.0,2.236686390532544,8.0,4.0,5.5,5.0,2.0833333333333335,8.0,3.0,0,0,0.0
21,Procellariidae,https://lichess.org/PQIVj8CG,2399,Black,Colle System,0,71,1260.0,1460.0,34.3,11.0,2980.6099999999997,186.0,1.0,47.53846153846154,35.0,3074.094674556213,220.0,0.0,27.181818181818183,20.0,528.1487603305785,83.0,-1.0,0,0,0.0
22,Procellariidae,https://lichess.org/9Q2RoDI6,2351,White,Alekhine Defense,2,53,685.0,1273.0,3.857142857142857,2.0,7.83673469387755,8.0,1.0,21.3,10.5,476.41,68.0,3.0,49.44444444444444,28.0,2692.2469135802467,182.0,5.0,7,1,0.0
23,chessandpassion,https://lichess.org/9Q2RoDI6,2359,Black,Alekhine Defense,0,53,588.0,1273.0,4.0,2.0,21.714285714285715,15.0,1.0,26.7,16.5,1179.0099999999998,120.0,1.0,36.625,7.5,2699.234375,135.0,1.0,-7,-1,2.0
24,SarzhanovCh2004,https://lichess.org/XIEhcB2k,2237,White,Italian Game: Anti-Fried Liver Defense,0,116,1449.0,2704.0,22.88888888888889,3.0,4407.765432098765,293.0,0.0,44.85,4.0,12250.827499999996,430.0,0.0,7.368421052631579,2.0,112.44321329639891,39.0,0.0,8,0,0.5
25,Procellariidae,https://lichess.org/XIEhcB2k,2310,Black,Italian Game: Anti-Fried Liver Defense,2,116,1255.0,2704.0,12.0,8.0,237.66666666666666,68.0,0.0,28.1,14.5,728.49,99.0,2.0,25.105263157894736,13.0,1759.8836565096951,189.0,1.0,-8,0,0.5
26,Procellariidae,https://lichess.org/qMhDzfzP,2258,White,Philidor Defense: Lion Variation,2,53,854.0,1715.0,6.857142857142857,5.0,36.40816326530612,18.0,1.0,37.7,21.5,1104.81,91.0,0.0,47.666666666666664,20.0,2392.6666666666665,159.0,0.0,3,1,0.0
27,SVK16,https://lichess.org/qMhDzfzP,2202,Black,Philidor Defense: Lion Variation,0,53,861.0,1715.0,8.714285714285714,2.0,94.77551020408161,29.0,2.0,46.5,36.5,1627.05,135.0,4.0,41.875,15.5,4155.359375,204.0,0.0,-3,-1,0.0
28,shiva23,https://lichess.org/vOASpAJr,2079,White,"Ruy Lopez: Morphy Defense, Anderssen Variation",0,56,322.0,739.0,2.625,2.0,1.734375,6.0,2.0,15.9,9.5,317.69,61.0,0.0,15.777777777777779,8.0,623.283950617284,85.0,0.0,1,1,0.0
29,Procellariidae,https://lichess.org/vOASpAJr,2212,Black,"Ruy Lopez: Morphy Defense, Anderssen Variation",2,56,417.0,739.0,2.25,2.0,1.6875,4.0,0.0,20.1,17.5,310.49,64.0,2.0,22.0,17.0,477.55555555555554,65.0,0.0,-1,-1,0.0
